Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock
28-08-2009,14.0512524,14.40253338,13.21695946,13.78779125,179718,0,0,20MICRONS.NS
31-08-2009,13.72192544,15.17096043,13.72192544,15.17096043,151000,0,0,20MICRONS.NS
01-09-2009,15.93938774,15.93938774,15.25878059,15.89547825,304946,0,0,20MICRONS.NS
02-09-2009,16.02720987,16.70781708,15.63201772,16.70781708,240000,0,0,20MICRONS.NS
03-09-2009,17.47624453,17.54211044,17.19082947,17.54211044,146000,0,0,20MICRONS.NS
04-09-2009,18.42031288,18.42031288,18.42031288,18.42031288,34000,0,0,20MICRONS.NS
07-09-2009,19.3424263,19.3424263,19.3424263,19.3424263,23000,0,0,20MICRONS.NS
08-09-2009,20.30845331,20.30845331,18.94723874,19.21069908,1392678,0,0,20MICRONS.NS
09-09-2009,19.3204709,19.3204709,18.26662636,18.26662636,187400,0,0,20MICRONS.NS
10-09-2009,17.4103796,18.88136933,17.36646843,17.36646843,155600,0,0,20MICRONS.NS
11-09-2009,18.00316395,18.00316395,16.51021797,16.72976875,147550,0,0,20MICRONS.NS
14-09-2009,16.77367855,17.5860157,16.35653177,17.5860157,56400,0,0,20MICRONS.NS
15-09-2009,18.46422386,18.46422386,18.46422386,18.46422386,30800,0,0,20MICRONS.NS
16-09-2009,19.38633728,19.38633728,18.46422287,19.38633728,662400,0,0,20MICRONS.NS
17-09-2009,20.37431593,20.37431593,18.44226812,19.38633728,506494,0,0,20MICRONS.NS
18-09-2009,19.6717538,19.6717538,18.4422695,18.79355049,119866,0,0,20MICRONS.NS
22-09-2009,19.03505694,19.73762063,18.31054018,18.92528152,268638,0,0,20MICRONS.NS
23-09-2009,18.61790716,18.79354678,17.98120955,18.00316429,81606,0,0,20MICRONS.NS
24-09-2009,17.21278532,18.90332603,17.10300991,18.90332603,199000,0,0,20MICRONS.NS
25-09-2009,19.32047066,19.80348176,18.3105373,18.83745956,186250,0,0,20MICRONS.NS
29-09-2009,19.71566542,19.75957491,18.55204533,18.74964142,91330,0,0,20MICRONS.NS
30-09-2009,18.57399796,18.85941468,18.24467175,18.3764019,69088,0,0,20MICRONS.NS
01-10-2009,18.81550473,18.81550473,17.78361654,17.98121262,60340,0,0,20MICRONS.NS
05-10-2009,17.56406704,18.20076481,17.16887486,17.27865028,44826,0,0,20MICRONS.NS
06-10-2009,17.87143517,18.00316531,16.53217564,16.97127724,69342,0,0,20MICRONS.NS
07-10-2009,17.12496413,17.82752609,17.12496413,17.82752609,26400,0,0,20MICRONS.NS
08-10-2009,18.72768067,18.72768067,16.94931816,17.5860157,92346,0,0,20MICRONS.NS
09-10-2009,17.80556926,17.80556926,16.72977002,16.97127724,47292,0,0,20MICRONS.NS
12-10-2009,17.12496141,17.69579312,17.0590955,17.32255745,47910,0,0,20MICRONS.NS
13-10-2009,17.32255745,17.32255745,17.32255745,17.32255745,0,0,0,20MICRONS.NS
14-10-2009,17.56406329,17.56406329,16.77368077,17.01518631,36964,0,0,20MICRONS.NS
15-10-2009,17.14691615,17.69579312,17.14691615,17.32255745,53022,0,0,20MICRONS.NS
16-10-2009,17.32255985,17.32255985,16.61999623,16.75172806,24980,0,0,20MICRONS.NS
20-10-2009,18.20076457,18.37640423,17.84948357,18.33249474,190372,0,0,20MICRONS.NS
21-10-2009,17.65188584,18.5300891,17.65188584,17.91534615,86636,0,0,20MICRONS.NS
22-10-2009,17.56406553,18.09098783,17.16887339,17.2347393,56706,0,0,20MICRONS.NS
23-10-2009,17.32255861,17.98121102,17.16887205,17.30060387,35998,0,0,20MICRONS.NS
26-10-2009,17.78361712,17.91534728,16.72977247,17.25669479,47890,0,0,20MICRONS.NS
27-10-2009,16.77368348,17.19083038,16.42240249,16.51022148,39408,0,0,20MICRONS.NS
28-10-2009,17.21278469,17.34451485,16.26871549,17.34451485,142800,0,0,20MICRONS.NS
29-10-2009,16.79563808,17.93730169,16.79563808,17.19083023,83146,0,0,20MICRONS.NS
30-10-2009,18.00316443,18.06903034,16.70781446,17.05909538,135268,0,0,20MICRONS.NS
03-11-2009,17.56406612,17.87143761,16.48826673,16.51022148,35108,0,0,20MICRONS.NS
04-11-2009,17.23473952,17.23473952,16.46631164,16.81759262,34490,0,0,20MICRONS.NS
05-11-2009,16.64195121,17.10300755,16.42240041,16.55413055,27244,0,0,20MICRONS.NS
06-11-2009,16.99323354,16.99323354,16.46631124,16.48826599,23726,0,0,20MICRONS.NS
09-11-2009,16.46631132,16.90541296,16.35653592,16.75172806,39024,0,0,20MICRONS.NS
10-11-2009,16.79563823,17.01518905,16.48826673,16.51022148,16034,0,0,20MICRONS.NS
11-11-2009,16.79563522,17.54210824,16.46630904,17.32255745,63438,0,0,20MICRONS.NS
12-11-2009,17.27864742,18.530088,16.94932122,18.2007618,100644,0,0,20MICRONS.NS
13-11-2009,18.74964068,19.71566463,18.48617868,18.72768593,218568,0,0,20MICRONS.NS
16-11-2009,19.32047331,19.32047331,18.48617948,18.5959549,62080,0,0,20MICRONS.NS
17-11-2009,19.12287663,19.12287663,17.80557168,18.31053925,46392,0,0,20MICRONS.NS
18-11-2009,17.78361652,18.77159521,17.78361652,18.35444832,39030,0,0,20MICRONS.NS
19-11-2009,18.639865,19.07896664,18.0690332,18.50813484,68546,0,0,20MICRONS.NS
20-11-2009,18.22271921,19.03505662,17.73970804,18.85941696,84116,0,0,20MICRONS.NS
23-11-2009,19.10092158,19.10092158,18.3764032,18.46422386,47822,0,0,20MICRONS.NS
24-11-2009,17.82752502,18.70572825,17.78361553,18.48617744,48266,0,0,20MICRONS.NS
25-11-2009,18.44226893,18.99114598,18.24467285,18.50813484,57036,0,0,20MICRONS.NS
26-11-2009,18.13489791,18.66182023,18.13489791,18.31053925,22278,0,0,20MICRONS.NS
27-11-2009,18.31053882,18.61791031,17.78361652,18.35444832,59952,0,0,20MICRONS.NS
30-11-2009,18.88136865,19.54002105,18.20076151,19.25460434,74670,0,0,20MICRONS.NS
01-12-2009,19.54002245,21.18665356,18.94723592,21.14274406,367694,0,0,20MICRONS.NS
02-12-2009,21.29642836,21.86726012,19.71566321,19.9132576,219046,0,0,20MICRONS.NS
03-12-2009,20.37431564,21.27447361,19.5400219,19.9132576,316450,0,0,20MICRONS.NS
04-12-2009,20.41822624,20.85732788,20.19867542,20.41822624,153756,0,0,20MICRONS.NS
07-12-2009,20.02303602,20.94515056,19.89130585,20.04499245,51970,0,0,20MICRONS.NS
08-12-2009,20.54995744,20.74755353,19.97912562,20.28649712,51692,0,0,20MICRONS.NS
09-12-2009,20.19867603,20.59386819,19.93521571,20.33040619,83918,0,0,20MICRONS.NS
10-12-2009,21.51598034,21.51598034,20.11085476,20.41822624,36078,0,0,20MICRONS.NS
11-12-2009,21.01101052,21.01101052,19.32047006,20.19867325,122480,0,0,20MICRONS.NS
14-12-2009,20.41822555,20.46213504,19.91325801,20.24258423,30646,0,0,20MICRONS.NS
